,"smt.arith.nl.patch_monomials=false","-file:{0} smt.arith.nl.patch_monomials=false",,,,,,
,"RV 11692","T_norm 11692","T_cpu 11692","T_wc 11692","# SAT 11692","# UNSAT 11692","# UNKNOWN 11692",
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0537844508432744,0.063,0.163,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,9.72268313667649,9.453,9.821,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.149196058091286,0.172,0.398,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0532153032153032,0.063,0.273,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.09854112833764,0.109,0.213,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0969133841592545,0.109,0.164,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0746289954337899,0.094,0.262,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.708588595664468,0.719,1.019,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0399114774114774,0.047,0.332,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0407236295681063,0.047,0.199,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.44650269821503,3.969,4.236,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,64.6170289855072,74.594,77.555,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,4.48804563492063,5.406,5.745,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,7.67215602517986,8.156,8.502,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.45455263157895,3.922,4.221,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0537844508432744,0.063,0.183,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.0831038135593221,0.094,0.433,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.585851332720588,0.609,0.835,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0449621733149931,0.047,0.16,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.136084512905912,0.156,0.47,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.044112685560054,0.047,0.171,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.352996760259179,0.391,0.512,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,6.96029476462825,7.563,7.988,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.161353352529823,0.188,0.478,1,0,0,
